info face="JetBrainsMono-Regular" size=72 bold=0 italic=0 charset="" unicode=1 stretchH=100 smooth=1 aa=1 padding=1,1,1,1 spacing=1,1
common lineHeight=72 base=73 scaleW=421 scaleH=415 pages=1 packed=0
page id=0 file="Unnamed.png"
chars count=91
char id=32 x=0 y=0 width=0 height=0 xoffset=0 yoffset=0 xadvance=44 page=0 chnl=15
char id=79 x=348 y=76 width=33 height=56 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=80 x=104 y=246 width=35 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=81 x=269 y=0 width=34 height=68 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=82 x=140 y=246 width=34 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=83 x=382 y=76 width=35 height=56 xoffset=4 yoffset=20 xadvance=44 page=0 chnl=15
char id=84 x=175 y=246 width=37 height=55 xoffset=3 yoffset=20 xadvance=44 page=0 chnl=15
char id=85 x=0 y=133 width=33 height=56 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=86 x=213 y=246 width=38 height=55 xoffset=3 yoffset=20 xadvance=44 page=0 chnl=15
char id=87 x=378 y=190 width=43 height=55 xoffset=0 yoffset=20 xadvance=44 page=0 chnl=15
char id=88 x=252 y=246 width=39 height=55 xoffset=2 yoffset=20 xadvance=44 page=0 chnl=15
char id=89 x=292 y=246 width=40 height=55 xoffset=2 yoffset=20 xadvance=44 page=0 chnl=15
char id=90 x=333 y=246 width=33 height=55 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=91 x=229 y=0 width=19 height=70 xoffset=14 yoffset=13 xadvance=44 page=0 chnl=15
char id=93 x=249 y=0 width=19 height=70 xoffset=10 yoffset=13 xadvance=44 page=0 chnl=15
char id=94 x=301 y=358 width=33 height=31 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=95 x=371 y=59 width=37 height=8 xoffset=3 yoffset=75 xadvance=44 page=0 chnl=15
char id=97 x=167 y=302 width=34 height=43 xoffset=4 yoffset=33 xadvance=44 page=0 chnl=15
char id=98 x=177 y=76 width=32 height=56 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=99 x=202 y=302 width=34 height=43 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=100 x=210 y=76 width=33 height=56 xoffset=5 yoffset=20 xadvance=44 page=0 chnl=15
char id=101 x=237 y=302 width=33 height=43 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=102 x=257 y=133 width=36 height=55 xoffset=3 yoffset=20 xadvance=44 page=0 chnl=15
char id=103 x=294 y=133 width=33 height=55 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=104 x=328 y=133 width=32 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=105 x=344 y=0 width=36 height=58 xoffset=5 yoffset=17 xadvance=44 page=0 chnl=15
char id=106 x=36 y=0 width=28 height=71 xoffset=5 yoffset=17 xadvance=44 page=0 chnl=15
char id=107 x=361 y=133 width=35 height=55 xoffset=6 yoffset=20 xadvance=44 page=0 chnl=15
char id=108 x=381 y=0 width=40 height=55 xoffset=1 yoffset=20 xadvance=44 page=0 chnl=15
char id=109 x=0 y=358 width=37 height=42 xoffset=3 yoffset=33 xadvance=44 page=0 chnl=15
char id=110 x=38 y=358 width=32 height=42 xoffset=6 yoffset=33 xadvance=44 page=0 chnl=15
char id=111 x=271 y=302 width=33 height=43 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=112 x=0 y=190 width=32 height=55 xoffset=6 yoffset=33 xadvance=44 page=0 chnl=15
char id=113 x=33 y=190 width=33 height=55 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=114 x=71 y=358 width=32 height=42 xoffset=7 yoffset=33 xadvance=44 page=0 chnl=15
char id=115 x=305 y=302 width=33 height=43 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=116 x=130 y=302 width=36 height=53 xoffset=2 yoffset=22 xadvance=44 page=0 chnl=15
char id=117 x=339 y=302 width=33 height=43 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=118 x=104 y=358 width=37 height=42 xoffset=3 yoffset=33 xadvance=44 page=0 chnl=15
char id=119 x=142 y=358 width=41 height=42 xoffset=1 yoffset=33 xadvance=44 page=0 chnl=15
char id=120 x=184 y=358 width=38 height=42 xoffset=3 yoffset=33 xadvance=44 page=0 chnl=15
char id=121 x=67 y=190 width=37 height=55 xoffset=3 yoffset=33 xadvance=44 page=0 chnl=15
char id=122 x=388 y=302 width=33 height=42 xoffset=5 yoffset=33 xadvance=44 page=0 chnl=15
char id=123 x=161 y=0 width=33 height=70 xoffset=4 yoffset=13 xadvance=44 page=0 chnl=15
char id=124 x=151 y=0 width=9 height=70 xoffset=17 yoffset=13 xadvance=44 page=0 chnl=15
char id=125 x=195 y=0 width=33 height=70 xoffset=6 yoffset=13 xadvance=44 page=0 chnl=15
char id=8470 x=367 y=246 width=43 height=55 xoffset=1 yoffset=20 xadvance=44 page=0 chnl=15
